Rank,Team,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
1,Cleveland Cavaliers,60,50,10,.833,48.1,123.1,45.0,90.6,49.7,16.2,41.1,39.5,16.8,21.3,78.6,10.9,34.4,45.3,28.9,13.1,8.3,4.4,4.6,18.6,18.6,11.5
2,Oklahoma City Thunder,60,49,11,.817,48.1,119.4,44.4,92.9,47.8,14.2,39.1,36.4,16.3,19.8,82.3,11.1,33.6,44.7,26.8,11.9,10.8,5.7,4.7,20.5,18.2,12.7
3,Boston Celtics,61,43,18,.705,48.4,116.8,41.6,90.1,46.1,17.8,48.0,37.0,15.9,20.0,79.6,10.8,34.0,44.9,25.8,12.0,7.2,5.6,3.8,16.4,18.3,8.6
4,New York Knicks,60,40,20,.667,48.4,117.6,44.0,89.3,49.3,12.7,34.1,37.2,17.0,21.1,80.3,10.7,32.2,42.9,27.4,13.1,7.9,4.0,5.0,16.9,19.1,4.7
5,Los Angeles Lakers,59,38,21,.644,48.1,112.7,41.0,85.2,48.1,12.4,34.9,35.5,18.4,23.3,78.7,9.5,33.0,42.5,26.3,13.9,7.8,4.8,4.2,16.6,19.6,1.6
6,Denver Nuggets,61,39,22,.639,48.3,121.1,45.8,90.1,50.8,12.0,31.5,38.1,17.6,22.7,77.5,11.3,34.7,46.0,31.1,14.4,8.2,4.7,5.1,17.6,18.9,5.1
7,Memphis Grizzlies,60,38,22,.633,48.1,123.2,45.2,93.5,48.4,13.8,37.5,36.8,19.0,24.4,77.6,13.3,34.4,47.6,29.1,16.4,8.9,6.0,5.7,21.1,20.9,6.4
8,Houston Rockets,60,37,23,.617,48.3,112.6,41.6,93.2,44.6,12.2,35.5,34.2,17.3,23.2,74.7,14.6,33.5,48.1,22.6,14.0,8.5,5.1,6.1,19.6,19.8,3.8
9,Indiana Pacers,59,34,25,.576,48.3,116.6,43.5,88.5,49.1,13.0,34.9,37.2,16.7,21.3,78.3,8.9,32.2,41.1,29.1,13.5,8.5,5.2,4.5,18.9,18.5,1.3
9,Milwaukee Bucks,59,34,25,.576,48.1,114.4,41.7,87.0,47.9,14.3,37.3,38.3,16.7,22.4,74.7,8.5,35.5,44.0,25.2,13.6,7.3,4.9,4.0,18.4,18.8,1.9
11,Detroit Pistons,61,34,27,.557,48.3,114.4,42.4,89.6,47.4,13.0,35.8,36.3,16.5,21.1,78.0,11.4,33.9,45.4,26.4,15.6,8.0,5.2,4.9,20.4,18.2,1.3
12,Golden State Warriors,60,32,28,.533,48.1,113.0,41.1,91.9,44.7,15.3,42.5,35.9,15.6,20.9,74.3,12.9,33.1,46.0,29.1,13.8,9.0,5.0,5.7,19.5,18.1,1.7
12,LA Clippers,60,32,28,.533,48.3,110.6,40.7,86.7,46.9,12.2,34.2,35.7,17.0,21.4,79.5,10.7,33.3,44.0,24.8,15.8,9.8,4.5,4.5,18.6,17.7,2.0
14,Minnesota Timberwolves,62,33,29,.532,48.2,112.1,40.0,87.3,45.8,14.9,39.7,37.4,17.3,21.7,79.5,11.0,33.0,44.0,25.5,14.6,8.1,4.9,4.9,18.2,19.2,3.0
15,Sacramento Kings,59,31,28,.525,48.6,116.8,43.4,90.9,47.7,12.5,35.7,34.9,17.6,21.8,80.8,11.1,33.9,45.0,26.8,13.6,7.9,4.7,4.5,19.0,18.8,1.5
16,Dallas Mavericks,61,32,29,.525,48.2,115.0,42.0,88.5,47.5,13.1,35.5,37.0,17.8,23.0,77.3,10.9,33.3,44.1,25.2,14.1,8.0,6.0,4.8,18.6,18.8,1.5
17,Miami Heat,59,28,31,.475,48.8,110.3,39.8,86.8,45.8,13.9,38.6,36.1,16.9,21.3,79.3,9.7,34.0,43.7,26.3,13.8,7.8,3.8,4.8,15.7,17.6,-0.6
18,Orlando Magic,62,29,33,.468,48.2,104.0,37.7,85.7,44.0,10.8,35.3,30.5,17.9,23.4,76.5,11.4,30.5,41.9,22.9,14.6,8.9,6.2,4.4,20.5,20.7,-1.7
